epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
91,966.185,1.13391,1.7547,0.45053,1.14471,0,0.99411,1,0.99449,0.71213,0.97712,0.98291,0.98644,0.61005,1.15017,1.76659,0.42281,1.15609,0,0.000218,0.000218,0.000218
92,975.35,1.11922,1.7037,0.44014,1.1307,0,0.99223,1,0.99466,0.69723,0.98109,0.98562,0.98768,0.60447,1.18431,1.79126,0.43364,1.17901,0,0.0001982,0.0001982,0.0001982
93,984.351,1.10832,1.69714,0.43055,1.13435,0,0.99328,0.99905,0.99479,0.72126,0.97885,0.98386,0.98728,0.61984,1.12201,1.76092,0.41863,1.13555,0,0.0001784,0.0001784,0.0001784
94,992.372,1.10645,1.68924,0.43146,1.11522,0,0.9934,0.99986,0.99482,0.72181,0.98359,0.9867,0.98859,0.62096,1.11226,1.76295,0.41431,1.13374,0,0.0001586,0.0001586,0.0001586
95,1000.48,1.11625,1.72339,0.43286,1.1473,0,0.99449,0.99905,0.99476,0.72582,0.98391,0.98752,0.98958,0.63011,1.11083,1.75152,0.41459,1.12831,0,0.0001388,0.0001388,0.0001388
96,1010.04,1.08397,1.66736,0.42377,1.10816,0,0.99527,0.9989,0.99478,0.72119,0.98155,0.98481,0.98771,0.62228,1.12451,1.72661,0.41336,1.13907,0,0.000119,0.000119,0.000119
97,1017.94,1.08833,1.68212,0.42305,1.11764,0,0.99408,1,0.9948,0.73343,0.98426,0.98765,0.98987,0.63286,1.09698,1.72568,0.40756,1.11997,0,9.92e-05,9.92e-05,9.92e-05
98,1027.68,1.08133,1.67181,0.42027,1.11006,0,0.99519,0.99905,0.9948,0.72753,0.98528,0.9886,0.99184,0.62848,1.10448,1.72201,0.40735,1.12725,0,7.94e-05,7.94e-05,7.94e-05
99,1036.48,1.07955,1.66339,0.4187,1.11791,0,0.99527,0.99974,0.99481,0.729,0.98582,0.99025,0.99242,0.63298,1.10084,1.73546,0.40813,1.12237,0,5.96e-05,5.96e-05,5.96e-05
100,1045.21,1.0753,1.6551,0.41741,1.1135,0,0.99523,1,0.99483,0.73294,0.9835,0.98765,0.98899,0.63003,1.09376,1.72608,0.40356,1.12018,0,3.98e-05,3.98e-05,3.98e-05
